
NUM;DATE;JACKPOT;N1;N2;N3;N4;N5;E1;E2;NBJEU;EU1;EU2;EU3;EU4;EU5;EU6;EU7;EU8;EU9;EU10;EU11;EU12;NB1;NB2;NB3;NB4;NB5;NB6;NB7;NB8;NB9;NB10;NB11;NB12;MT1;MT2;MT3;MT4;MT5;MT6;MT7;MT8;MT9;MT10;MT11;MT12;
1441;2021-07-13;26000000;5;6;8;11;22;3;4;17241792;1;5;17;67;1233;1676;2587;19398;38766;81167;87429;458457;0;1;5;12;350;383;699;4032;9525;20139;17286;103746;26482986,00;99002,30;6805,40;537,80;53,80;41,80;19,00;12,70;7,00;6,30;7,00;4,20;
1440;2021-07-09;17000000;6;19;36;37;49;4;11;0;0;2;5;31;577;1306;1318;18096;25590;61276;98577;393624;0;1;1;6;107;236;265;3302;5074;12192;18529;78903;17000000,00;319379,40;29857,70;1499,90;148,40;69,30;48,20;17,50;13,80;10,70;8,10;6,40;
1439;2021-07-06;17000000;2;5;21;27;42;9;11;16831795;1;2;6;23;584;1103;1417;15104;25950;63521;76100;356761;0;1;0;5;121;195;292;2765;5323;13722;13829;71885;17000000,00;241620,40;18823,50;1529,40;110,90;62,10;33,90;15,90;10,30;7,80;7,90;5,30;
1438;2021-07-02;77000000;9;14;29;38;49;7;10;29479221;1;2;7;41;969;2020;2069;27338;42415;94868;145272;590518;0;1;2;16;207;419;368;5521;8264;17393;28903;112590;77959528,00;423174,20;28257,90;1502,70;117,10;59,30;40,70;15,40;11,00;9,20;7,20;5,60;
1437;2021-06-29;64000000;6;12;20;24;48;5;6;19375515;0;5;5;55;1139;1745;1863;21751;36620;66073;104567;464731;0;2;1;9;247;350;474;4398;8409;14745;19897;101789;0,00;111254,20;26001,90;736,20;65,40;45,10;29,70;12,70;8,40;8,70;6,60;4,70;
1436;2021-06-25;54000000;1;29;30;33;36;3;12;25027800;0;0;7;24;523;1177;1203;18343;26737;63393;100417;432899;0;0;1;4;89;193;223;3337;5068;12466;18769;84972;0,00;0,00;126640,60;2179,50;184,20;86,50;59,50;19,50;14,90;11,70;8,90;6,50;
1435;2021-06-22;40000000;6;24;26;27;41;3;8;18036830;0;1;3;26;537;1503;1098;22412;25742;53604;121431;386296;0;1;1;4;105;278;184;4280;5122;10262;23850;77852;0,00;517837,30;40342,30;1449,80;129,30;48,80;46,90;11,50;11,10;9,90;5,30;5,20;
1434;2021-06-18;30000000;11;20;27;30;41;3;5;23632813;0;7;8;61;916;2570;1808;33949;40030;76478;171005;554561;0;0;4;12;193;550;369;7355;8454;16612;35902;118570;0,00;96928,20;19822,00;809,70;99,30;37,40;37,30;9,90;9,40;9,10;4,90;4,80;
1433;2021-06-15;17000000;11;21;26;30;31;2;3;16828553;0;2;6;32;727;1243;1339;16157;30482;58911;83088;400903;0;0;0;6;146;243;285;3182;6488;12158;16304;84541;0,00;241573,80;18819,90;1099,10;89,10;55,10;35,90;14,80;8,80;8,40;7,20;4,70;
1432;2021-06-11;30000000;9;17;21;33;39;7;11;24332100;1;7;17;68;1160;2095;2449;26487;43854;93506;128929;551033;1;0;8;5;246;422;483;5648;9306;19612;27216;121178;30382655,00;99796,30;9604,00;747,80;80,70;47,20;28,40;13,10;8,80;7,70;6,70;5,00;
